Episode,Captured,Steps,Reward,CaptureRate,LR
568,1,53,233.76,54.0,9.71e-05
569,0,38,48.06,53.0,9.71e-05
570,1,93,193.39,54.0,9.70e-05
571,0,44,4.24,53.0,9.70e-05
572,1,30,210.40,53.0,9.70e-05
573,0,3,-21.57,52.0,9.70e-05
574,1,49,229.81,52.0,9.70e-05
575,1,17,208.74,53.0,9.70e-05
576,1,60,203.13,54.0,9.70e-05
577,1,55,238.84,54.0,9.70e-05
578,0,19,-34.86,53.0,9.70e-05
579,1,32,217.14,53.0,9.69e-05
580,1,36,236.15,54.0,9.69e-05
581,0,16,14.45,53.0,9.69e-05
582,0,10,-21.90,53.0,9.69e-05
583,1,57,249.54,54.0,9.69e-05
584,1,53,231.84,54.0,9.69e-05
585,0,38,9.89,54.0,9.69e-05
586,1,39,228.10,55.0,9.69e-05
587,1,57,214.87,56.0,9.69e-05
588,1,62,195.46,57.0,9.68e-05
589,0,55,23.69,56.0,9.68e-05
590,0,3,-22.43,56.0,9.68e-05
591,1,38,225.83,56.0,9.68e-05
592,1,26,208.10,56.0,9.68e-05
593,1,46,236.99,56.0,9.68e-05
594,0,14,-23.94,55.0,9.68e-05
595,1,50,225.07,56.0,9.68e-05
596,0,60,-7.35,55.0,9.68e-05
597,0,30,-3.33,55.0,9.67e-05
598,0,16,-4.96,54.0,9.67e-05
600,1,77,204.33,54.0,9.67e-05
601,0,35,-24.96,54.0,9.67e-05
602,0,35,-29.07,53.0,9.67e-05
603,1,76,190.50,54.0,9.67e-05
604,0,24,13.90,54.0,9.67e-05
605,0,19,33.07,54.0,9.67e-05
606,1,39,224.78,55.0,9.67e-05
607,1,56,182.47,56.0,9.66e-05
608,0,29,23.93,56.0,9.66e-05
609,0,10,-16.24,55.0,9.66e-05
610,1,36,242.84,56.0,9.66e-05
611,0,11,10.21,55.0,9.66e-05
612,0,10,-21.86,55.0,9.66e-05
613,0,2,-31.30,54.0,9.66e-05
614,1,42,198.25,54.0,9.66e-05
615,0,43,22.52,54.0,9.66e-05
616,1,70,250.53,55.0,9.65e-05
617,0,21,-25.67,54.0,9.65e-05
618,0,23,-21.44,53.0,9.65e-05
619,0,3,-28.81,52.0,9.65e-05
620,0,50,6.83,52.0,9.65e-05
621,1,71,165.02,52.0,9.65e-05
622,0,25,38.60,51.0,9.65e-05
623,0,2,-26.64,51.0,9.65e-05
624,1,48,205.27,52.0,9.65e-05
625,0,24,13.29,52.0,9.64e-05
626,1,44,228.36,52.0,9.64e-05
627,0,4,-21.50,51.0,9.64e-05
628,1,29,220.32,51.0,9.64e-05
629,0,15,3.09,51.0,9.64e-05
630,0,19,20.56,50.0,9.64e-05
631,0,3,-28.07,50.0,9.64e-05
632,1,67,219.71,51.0,9.64e-05
633,0,2,-27.34,50.0,9.64e-05
634,0,27,43.51,49.0,9.63e-05
635,1,84,237.64,50.0,9.63e-05
636,0,3,-26.62,50.0,9.63e-05
637,0,59,39.52,49.0,9.63e-05
638,1,41,240.68,49.0,9.63e-05
639,1,52,212.93,49.0,9.63e-05
640,0,39,23.46,48.0,9.63e-05
641,0,8,-1.74,47.0,9.63e-05
642,0,18,23.81,46.0,9.62e-05
643,1,23,218.09,46.0,9.62e-05
644,0,14,9.75,45.0,9.62e-05
645,0,24,-30.46,45.0,9.62e-05
646,0,9,-36.09,44.0,9.62e-05
647,1,64,223.68,45.0,9.62e-05
648,0,24,-22.54,45.0,9.62e-05
649,1,97,188.06,46.0,9.62e-05
650,1,36,228.17,46.0,9.61e-05
651,1,89,224.90,46.0,9.61e-05
652,0,31,36.29,45.0,9.61e-05
653,0,17,-17.95,45.0,9.61e-05
654,0,41,49.44,44.0,9.61e-05
655,0,27,4.67,43.0,9.61e-05
656,0,45,8.69,42.0,9.61e-05
657,0,29,-30.98,42.0,9.61e-05
658,1,49,253.82,42.0,9.61e-05
659,0,14,-7.75,41.0,9.60e-05
660,0,24,-41.22,41.0,9.60e-05
661,1,44,212.64,42.0,9.60e-05
662,1,42,222.06,42.0,9.60e-05
663,1,45,251.88,43.0,9.60e-05
664,1,45,225.07,43.0,9.60e-05
665,1,48,225.04,44.0,9.60e-05
666,1,59,243.54,45.0,9.60e-05
667,0,7,-25.57,45.0,9.59e-05
668,0,4,-23.31,44.0,9.59e-05
669,1,47,205.87,45.0,9.59e-05
